"Prebivalstvo, staro 15 ali veè let po: STATISTIÈNA REGIJA, STAROST,"
"ZAKONSKI STAN, LETO , SPOL"

" ";" ";"Razvezani";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" ";"2018";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
" ";"70-74 let";1171;434;737;1206;448;758;1328;514;814;1492;608;884;1572;638;934;1556;619;937;1656;673;983;1697;711;986
" ";"75-79 let";846;233;613;875;260;615;871;265;606;889;275;614;979;321;658;1003;341;662;1025;352;673;1161;423;738
" ";"80-84 let";550;94;456;570;106;464;577;119;458;597;126;471;584;128;456;629;172;457;665;186;479;673;179;494
" ";"85-89 let";299;37;262;304;37;267;322;34;288;302;42;260;325;54;271;325;46;279;332;49;283;349;62;287
" ";"90-94 let";59;7;52;71;10;61;84;11;73;118;13;105;120;11;109;120;9;111;125;10;115;139;14;125
" ";"95-99 let";11;1;10;9;1;8;11;0;11;8;0;8;11;1;10;19;2;17;21;2;19;17;3;14
" ";"100 + let";1;0;1;1;0;1;1;1;0;1;1;0;3;1;2;2;1;1;2;1;1;3;1;2
"Koroška"
" ";"Starost - SKUPAJ";3041;1338;1703;3083;1352;1731;3131;1366;1765;3149;1388;1761;3145;1376;1769;3167;1399;1768;3213;1407;1806;3202;1395;1807
" ";"15-19 let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";"20-24 let";2;1;1;1;1;0;1;1;0;0;0;0;1;0;1;2;0;2;3;0;3;2;0;2
" ";"25-29 let";20;6;14;16;3;13;10;2;8;10;2;8;18;6;12;7;3;4;11;5;6;8;2;6
" ";"30-34 let";94;32;62;86;32;54;87;35;52;69;28;41;60;24;36;52;20;32;56;19;37;57;24;33
" ";"35-39 let";195;86;109;190;80;110;194;73;121;187;64;123;174;63;111;162;62;100;153;67;86;138;61;77
" ";"40-44 let";305;120;185;288;119;169;280;118;162;274;121;153;269;122;147;257;116;141;246;104;142;241;95;146
" ";"45-49 let";422;190;232;407;175;232;406;184;222;407;189;218;379;161;218;365;158;207;368;153;215;353;153;200
" ";"50-54 let";555;272;283;526;243;283;499;221;278;467;207;260;459;210;249;463;210;253;450;212;238;438;212;226
" ";"55-59 let";482;248;234;520;259;261;550;273;277;559;272;287;552;258;294;558;266;292;530;240;290;505;219;286
" ";"60-64 let";320;159;161;371;199;172;403;202;201;451;236;215;463;246;217;467;233;234;505;241;264;532;251;281
" ";"65-69 let";271;116;155;272;127;145;258;130;128;249;124;125;269;132;137;314;160;154;351;185;166;375;187;188
" ";"70-74 let";149;55;94;172;61;111;205;76;129;225;86;139;249;96;153;243;100;143;237;106;131;222;103;119
" ";"75-79 let";123;33;90;115;32;83;105;25;80;110;30;80;103;32;71;125;47;78;148;50;98;176;62;114
" ";"80-84 let";66;16;50;78;16;62;88;20;68;92;22;70;95;19;76;96;19;77;90;21;69;82;18;64
" ";"85-89 let";27;2;25;30;4;26;30;4;26;32;4;28;40;5;35;41;4;37;49;3;46;54;5;49
" ";"90-94 let";9;2;7;9;1;8;13;2;11;14;2;12;11;2;9;14;1;13;13;1;12;13;2;11
" ";"95-99 let";1;0;1;1;0;1;2;0;2;3;1;2;3;0;3;1;0;1;3;0;3;6;1;5
" ";"100 + let";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Savinjska"
" ";"Starost - SKUPAJ";13810;5846;7964;13972;5894;8078;14124;5977;8147;14247;6004;8243;14205;5969;8236;14343;6031;8312;14507;6103;8404;14627;6131;8496
" ";"15-19 let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";"20-24 let";19;2;17;16;5;11;7;0;7;8;0;8;9;2;7;7;1;6;6;0;6;12;2;10
" ";"25-29 let";110;39;71;101;22;79;89;22;67;80;21;59;89;21;68;85;17;68;78;24;54;67;19;48
" ";"30-34 let";464;169;295;438;167;271;402;158;244;338;126;212;289;106;183;274;107;167;280;92;188;277;93;184
